tate,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROGRAM,;,.,BEGIN,END,VAR,:,TYPE,=,PROCEDURE,(,),CONST,:=,INT,LIT,+,-,ARRAY,[,..,],OF,RECORD,ID,",",WHILE,DO,READ,WRITE,WRITELN,IF,THEN,ELSE,NOT,AND,OR,>,<,<=,>=,<>,*,/,$,prog,bloco,decls,decl,vardecl,typedecl,procdecl,constdecl,valor,valorss,sinal,type,campos,campo,params,param,iden,idens,coms,stmt,mstmt,unst,exprs,expr,opbool,expr1,opcomp,expr2,opad,expr3,opmult,expr4,var
80,,,,,,,,,,,r56,,,,r56,r56,r56,r56,,,,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,r57,,,,r57,r57,r57,r57,,,,,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,r58,,,,r58,r58,r58,r58,,,,,,,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,r62,,,,r62,r62,,,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,r63,,,,r63,r63,,,,,,,,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,r60,,,r60,,,,r60,,,r60,,,,,r60,r60,,,,r60,,,,r60,,r60,,,,,r60,r60,,r60,r60,r60,r60,r60,r60,r60,s87,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,
86,,,,,,,,,,,s30,,,,s54,s55,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,29,,,,,,,,,,,,,,,110,52
87,,,,,,,,,,,r66,,,,r66,r66,,,,,,,,,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,r67,,,,r67,r67,,,,,,,,,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,111,,45,,46,,48,,51,52
90,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s28,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,113,112,21,,,,,,,,,,,23
91,,r72,r72,,r72,,,,r72,,r72,r72,,r72,,,r72,r72,,r72,,r72,,,,r72,,r72,,,,,r72,r72,,r72,r72,r72,r72,r72,r72,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,r18,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,116,,,117,,,,,,,,,,,,,,,,
96,,,,,,,r28,,,,,,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,s119,,,,,,,,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,r25,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,120,,,,,,,,,,,,,,,
101,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,r12,,,,,,,,,,,,,,,,,,,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,s54,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,
104,,r73,r73,,r73,,,,r73,,r73,r73,,r73,,,r73,r73,,r73,,r73,,,,r73,,r73,,,,,r73,r73,,r73,r73,r73,r73,r73,r73,r73,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,r36,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,122,,45,,46,,48,,51,52
107,,r46,,,r46,,,,,,,r46,,,,,,,,,,r46,,,,r46,,r46,,,,,r46,r46,,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,r51,,,r51,,,,,,,r51,,,,,s83,s84,,,,r51,,,,r51,,r51,,,,,r51,r51,,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
109,,r59,,,r59,,,,r59,,,r59,,,,,r59,r59,,,,r59,,,,r59,,r59,,,,,r59,r59,,r59,r59,r59,r59,r59,r59,r59,s87,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,
110,,r64,,,r64,,,,r64,,,r64,,,,,r64,r64,,,,r64,,,,r64,,r64,,,,,r64,r64,,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,s123,,,,,,,,,,,,,,,,,,,,,,,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
112,,r32,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,r42,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,s54,s55,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,102,103,,,,,,,,,,,,,,,,,,,,,,
115,,s127,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,r22,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,
120,,,,,,,s131,,,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,r13,,,,,,,,,,,,,,,,,,,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s132,,,s72,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,
123,,r69,,,r69,,,,r69,,,r69,,,,,r69,r69,,,,r69,,,,r69,,r69,,,,,r69,r69,,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s28,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,133,134,,,,,,,,,,,23
125,,,,,,,,,,,,,,,,,,,,,s135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,r20,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,117,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,s94,,,,,s95,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,93,,,,,,,,,,,,,,,,
129,,,,r3,,r3,,r3,,r3,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,r24,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,
132,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s106,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,140,,,,,,,,,,,,23
133,,r41,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,r43,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,s54,s55,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,102,103,,,,,,,,,,,,,,,,,,,,,,
136,,r21,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,r23,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
